"Historical Data"
"From 2023-11-29 to 2024-12-28"
US912810TV08
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover
'06/09/2024;114,33;114,33;113,00;113,30;113,12;68000;8;76924;113.123971
'05/09/2024;111,57;111,57;111,57;111,57;111,57;600;1;669;111.57
'04/09/2024;110,82;111,05;110,82;111,05;111,05;204000;3;226533;111.04549
'03/09/2024;109,30;111,19;109,30;110,43;110,43;27800;3;30699;110.428129
'02/09/2024;111,07;111,07;109,23;109,23;109,43;322000;7;352850;109.58087
30/08/2024;'0,00;'0,00;'0,00;'0,00;110,10;'0;'0;'0;
29/08/2024;'0,00;'0,00;'0,00;'0,00;109,76;'0;'0;'0;
28/08/2024;'0,00;'0,00;'0,00;'0,00;110,73;'0;'0;'0;
27/08/2024;110,20;110,20;110,20;110,20;110,29;40000;1;44080;110.2
26/08/2024;111,06;111,09;111,06;111,09;110,85;13200;3;14662;111.076364
23/08/2024;111,00;111,13;111,00;111,13;111,08;50000;2;55539;111.078
22/08/2024;110,31;110,31;110,31;110,31;110,31;5000;1;5516;110.31
21/08/2024;111,58;111,69;111,39;111,69;111,39;357400;11;398289;111.440806
20/08/2024;'0,00;'0,00;'0,00;'0,00;111,26;'0;'0;'0;
19/08/2024;110,49;110,60;110,23;110,23;110,66;33700;6;37235;110.490475
16/08/2024;110,04;110,04;110,02;110,02;110,02;11000;3;12102;110.021818
15/08/2024;'0,00;'0,00;'0,00;'0,00;110,80;'0;'0;'0;
14/08/2024;'0,00;'0,00;'0,00;'0,00;110,80;'0;'0;'0;
13/08/2024;'0,00;'0,00;'0,00;'0,00;109,88;'0;'0;'0;
12/08/2024;109,00;109,00;109,00;109,00;109,00;20000;1;21800;109
'09/08/2024;108,45;108,45;108,43;108,43;108,88;101600;2;110165;108.430394
'08/08/2024;109,23;109,23;107,70;107,70;107,82;109000;2;118908;109.089633
'07/08/2024;108,92;108,92;108,89;108,89;108,71;12000;2;13070;108.915
'06/08/2024;110,84;110,84;110,75;110,75;110,75;14000;3;15515;110.82
'05/08/2024;111,78;112,27;111,59;112,07;111,99;283000;8;317354;112.139152
'02/08/2024;108,64;110,00;108,25;110,00;110,38;82000;4;89770;109.475488
'01/08/2024;107,41;108,13;107,41;108,13;108,13;69000;3;74154;107.47
31/07/2024;105,91;105,91;105,91;105,91;106,59;1000;1;1059;105.91
30/07/2024;105,35;105,35;104,94;104,94;105,35;33000;2;34671;105.064242
29/07/2024;105,88;105,88;105,85;105,85;105,35;25000;2;26464;105.856
26/07/2024;104,27;105,02;104,27;105,02;105,02;132000;4;137763;104.366136
25/07/2024;'0,00;'0,00;'0,00;'0,00;104,50;'0;'0;'0;
24/07/2024;104,76;104,76;104,39;104,39;104,39;34000;4;35586;104.663235
23/07/2024;'0,00;'0,00;'0,00;'0,00;104,77;'0;'0;'0;
22/07/2024;105,40;105,40;105,40;105,40;105,40;16500;2;17391;105.4
19/07/2024;105,70;105,70;105,14;105,14;105,18;19800;5;20853;105.320202
18/07/2024;105,86;105,86;105,86;105,86;105,86;600;1;635;105.86
17/07/2024;106,07;106,07;106,07;106,07;106,12;3000;1;3182;106.07
16/07/2024;'0,00;'0,00;'0,00;'0,00;105,72;'0;'0;'0;
15/07/2024;105,00;105,00;105,00;105,00;105,05;2000;1;2100;105
12/07/2024;105,35;105,43;105,24;105,24;105,48;207000;5;218218;105.419275
11/07/2024;104,56;106,06;104,56;106,06;106,06;43000;3;45508;105.832558
10/07/2024;104,63;104,63;104,52;104,52;104,25;12000;2;12553;104.611667
'09/07/2024;104,55;104,55;103,90;103,90;104,02;13000;3;13533;104.1
'08/07/2024;107,04;107,04;104,28;104,59;104,59;9000;4;9420;104.667778
'05/07/2024;103,95;103,95;103,95;103,95;104,49;6000;1;6237;103.95
'04/07/2024;103,95;103,95;103,95;103,95;103,54;6400;1;6653;103.95
'03/07/2024;102,45;103,79;102,41;103,79;103,79;82000;4;84017;102.459512
'02/07/2024;101,94;102,02;101,94;102,02;101,97;18000;3;18355;101.971111
'01/07/2024;103,24;103,24;101,88;101,88;101,94;15000;6;15406;102.706
